"id","shop_id","ss_social_account_id","name","account_center_id","center_id","data_source_id","account_center_name","center_name","target_market","content_language","utm_tag","auto_refresh_at","auto_refresh_period","auto_refresh_submit_run_time","auto_refresh_fetch_run_time","timezone","auto_apply_mapping","type_get_product","collection_ids","collection_categories","filter_statement","show_columns","last_submit","last_fetch","manual_submit","status","processing","is_re_assign","check_migrate","is_uninstall","check_migrate_categories","social_type","shop_ids","rules","created_at","updated_at","user_id","schedule","fbe_ids"
175,8,3,"FBC File","2955074047936185","605116190376369","401636637861391","Tram's Business","TramTTM_1","FB","fb",{},"06:23:01","3 hour","2020-12-07 09:23:00","2020-12-03 07:27:38",{},True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 06:24:09","2020-12-03 07:12:39",False,"ACTIVATED",{},False,True,False,True,"facebook","[8]","{""includes"": [], ""includes_status"": false}","2020-12-03 07:12:38","2020-12-07 06:24:09",2,"hourly",{}
173,50,3,"FBC 5","2955074047936185","607685653513548","715462859393653","Tram's Business","TramTTM_3","FB","fb",{},"10:45:00","3 hour","2020-12-07 07:45:00","2020-12-03 05:01:19","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 04:45:13","2020-12-03 04:46:19",False,"ACTIVATED",{},False,True,False,True,"facebook","[50]","{""includes"": [], ""includes_status"": false}","2020-12-03 04:46:19","2020-12-07 04:45:13",2,"hourly",{}
172,50,8,"FBE 2","242114110538555","338483957247904","3559556854121666","HelloApps","Facebook feed catalog","FB","fb",{},"04:33:53","3 hour","2020-12-07 07:33:00","2020-12-01 04:48:53","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 04:34:10","2020-12-01 04:33:53",False,"ACTIVATED",{},False,True,False,True,"facebook_fbe","[50]","{""includes"": [], ""includes_status"": false}","2020-12-01 04:33:53","2020-12-07 04:34:10",2,"hourly","{""pages"": [""1390920021193494""], ""catalog"": {""id"": ""385244009149569"", ""name"": ""Shopify Product Catalog""}, ""business"": {""id"": ""433862160405134"", ""name"": ""HelloApps""}, ""pixel_id"": ""1356101674511580"", ""profiles"": [""1390920021193494"", ""17841400082478643""], ""catalog_id"": ""385244009149569"", ""instagram_profiles"": [""17841400082478643""], ""business_manager_id"": ""433862160405134"", ""external_business_id"": ""socialshop_80_1606710335""}"
171,46,14,"demo","3910438085636811","372695863965879","1025025644678447","Thanh Vân","FBE Socialhead - Danh mục","FB","fb",{},"04:08:51","wednesday","2020-12-09 04:08:51","2020-12-01 04:23:51","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": true}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": true}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": true}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-02 04:09:08","2020-12-01 04:08:52",False,"ACTIVATED",{},False,True,False,True,"facebook_fbe","[46]","{""includes"": [], ""includes_status"": false}","2020-12-01 04:08:51","2020-12-02 04:09:08",13,"hourly","{""pages"": [""102889904496008""], ""catalog"": {""id"": ""372695863965879"", ""name"": ""FBE Socialhead - Danh mục""}, ""business"": {""id"": ""180439756364845"", ""name"": ""Thanh Vân""}, ""pixel_id"": ""701053537206133"", ""profiles"": [""102889904496008""], ""catalog_id"": ""372695863965879"", ""business_manager_id"": ""180439756364845"", ""external_business_id"": ""socialshop_46_1606727551""}"
170,63,5,"áda","945918475897740","4828165377256646","737343440220577","buicongdang","Products for Test 4555 (102783394962104)","FB","fb",{},"02:19:02","8 hour","2020-12-07 10:19:00","2020-12-01 02:34:02","Etc/GMT+12",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 02:20:12","2020-12-01 02:19:03",False,"ACTIVATED",{},False,True,False,True,"facebook","[63]","{""includes"": [], ""includes_status"": false}","2020-12-01 02:19:02","2020-12-07 02:20:12",18,"hourly","{""pages"": [""185358872101112""], ""catalog"": {""id"": ""279891436660947"", ""name"": ""Products for Quang Dũng (234280126618900)""}, ""business"": {""id"": ""433862160405134"", ""name"": ""HelloApps""}, ""profiles"": [""185358872101112""], ""catalog_id"": ""279891436660947"", ""business_manager_id"": ""433862160405134"", ""external_business_id"": ""socialshop_4_1606286551""}"
169,63,5,"facebook feed","433862160405134","385244009149569","183079206812866","HelloApps","Shopify Product Catalog","FB","fb",{},"09:48:09","8 hour","2020-12-07 09:48:00","2020-11-30 10:03:09","Etc/GMT+12",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 01:48:14","2020-11-30 09:48:10",False,"ACTIVATED",{},False,True,False,True,"facebook","[63]","{""includes"": [], ""includes_status"": false}","2020-11-30 09:48:09","2020-12-07 01:48:14",18,"hourly","{""pages"": [""185358872101112""], ""catalog"": {""id"": ""279891436660947"", ""name"": ""Products for Quang Dũng (234280126618900)""}, ""business"": {""id"": ""433862160405134"", ""name"": ""HelloApps""}, ""profiles"": [""185358872101112""], ""catalog_id"": ""279891436660947"", ""business_manager_id"": ""433862160405134"", ""external_business_id"": ""socialshop_4_1606286551""}"
166,92,8,"Catalog","625331411502991","918559268675033","371517740614660","Codeby","Test LOCAL","FB","fb",{},"08:10:46","8 hour","2020-12-07 08:10:00","2020-11-30 08:25:46","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 00:10:05","2020-11-30 08:10:46",False,"ACTIVATED",{},False,True,False,True,"facebook","[92]","{""includes"": [], ""includes_status"": false}","2020-11-30 08:10:46","2020-12-07 00:10:05",14,"hourly","{""pages"": [""1390920021193494""], ""catalog"": {""id"": ""385244009149569"", ""name"": ""Shopify Product Catalog""}, ""business"": {""id"": ""433862160405134"", ""name"": ""HelloApps""}, ""pixel_id"": ""1356101674511580"", ""profiles"": [""1390920021193494"", ""17841400082478643""], ""catalog_id"": ""385244009149569"", ""instagram_profiles"": [""17841400082478643""], ""business_manager_id"": ""433862160405134"", ""external_business_id"": ""socialshop_80_1606710335""}"
165,87,9,"FC","1721985911288659","168529814429219","680065692695774","PadaGirlss","Facebook Shopping Feed #GSF108710","FB","fb",{},"07:23:44","8 hour","2020-12-07 07:23:00","2020-11-30 07:38:44","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Facebook Catalog"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Facebook Product Category"", ""index"": 6, ""column"": ""fb_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 7, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 8, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-06 23:23:12","2020-11-30 07:23:44",False,"ACTIVATED",{},False,True,False,True,"facebook","[87]","{""includes"": [], ""includes_status"": false}","2020-11-30 07:23:44","2020-12-06 23:23:12",3,"hourly",{}
164,87,4,"GM","115756290153955955184","157073556",{},{},{},"VN","en",{},"07:19:32","8 hour","2020-12-07 07:19:00","2020-12-07 07:19:00","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Merchant Center"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 6, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 7, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-06 23:19:07","2020-12-06 23:19:06",False,"ACTIVATED",{},False,True,False,True,"google","[87]","{""includes"": [], ""includes_status"": false}","2020-11-30 07:19:32","2020-12-06 23:19:07",3,"hourly",{}
163,86,4,"GM","115756290153955955184","157073556",{},{},{},"VN","vi",{},"06:55:59","8 hour","2020-12-07 14:55:00","2020-12-07 14:55:00","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Merchant Center"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 6, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 7, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 06:56:08","2020-12-07 06:56:07",False,"ACTIVATED",{},False,True,False,True,"google","[86]","{""includes"": [], ""includes_status"": false}","2020-11-30 06:55:59","2020-12-07 06:56:08",3,"hourly",{}
162,84,26,"PHUC-UAT-4001","109051024653809192481","289445872",{},{},{},"HK","zh",{},"06:50:47","8 hour","2020-12-07 06:50:00","2020-12-07 06:50:00","Etc/GMT+12",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Merchant Center"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 6, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 7, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 06:50:06","2020-12-07 06:50:06",False,"ACTIVATED",{},False,True,False,True,"google","[84]","{""includes"": [], ""includes_status"": false}","2020-11-30 06:50:47","2020-12-07 06:50:06",22,"hourly",{}
161,73,24,"PHUC-UAT-1003","112728228524959585967","288504707",{},{},{},"DK","da",{},"04:53:49","8 hour","2020-12-07 12:53:00","2020-12-07 12:53:00","Etc/GMT+12",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Merchant Center"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": true}, {""name"": ""Product Link"", ""index"": 6, ""column"": ""link"", ""isShow"": true}, {""name"": ""Image Link"", ""index"": 7, ""column"": ""image_link"", ""isShow"": true}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": true}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": true}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": true}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": true}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": true}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": true}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": true}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": true}]","2020-12-07 04:54:15","2020-12-07 04:54:16",False,"ACTIVATED",{},False,True,False,True,"google","[73]","{""includes"": [], ""includes_status"": false}","2020-11-30 04:53:49","2020-12-07 04:54:16",20,"hourly",{}
160,81,4,"GM 1","115756290153955955184","157073556",{},{},{},"AE","ar",{},"04:48:28","8 hour","2020-12-07 12:48:00","2020-12-07 12:48:00","Asia/Bangkok",True,{},{},{},{},"[{""name"": ""Title"", ""index"": 1, ""column"": ""title"", ""isShow"": true}, {""name"": ""ID"", ""index"": 2, ""column"": ""offer_id"", ""isShow"": true}, {""name"": ""Status"", ""index"": 3, ""column"": ""status"", ""isShow"": true}, {""name"": ""Errors From Merchant Center"", ""index"": 4, ""column"": ""errors"", ""isShow"": true}, {""name"": ""Google Product Category"", ""index"": 5, ""column"": ""google_product_category"", ""isShow"": false}, {""name"": ""Product Link"", ""index"": 6, ""column"": ""link"", ""isShow"": false}, {""name"": ""Image Link"", ""index"": 7, ""column"": ""image_link"", ""isShow"": false}, {""name"": ""Condition"", ""index"": 12, ""column"": ""condition"", ""isShow"": false}, {""name"": ""Brand"", ""index"": 13, ""column"": ""brand"", ""isShow"": false}, {""name"": ""Product Type"", ""index"": 16, ""column"": ""product_types"", ""isShow"": false}, {""name"": ""Custom Label 0"", ""index"": 19, ""column"": ""custom_label_0"", ""isShow"": false}, {""name"": ""Custom Label 1"", ""index"": 20, ""column"": ""custom_label_1"", ""isShow"": false}, {""name"": ""Custom Label 2"", ""index"": 21, ""column"": ""custom_label_2"", ""isShow"": false}, {""name"": ""Custom Label 3"", ""index"": 22, ""column"": ""custom_label_3"", ""isShow"": false}, {""name"": ""Custom Label 4"", ""index"": 23, ""column"": ""custom_label_4"", ""isShow"": false}]","2020-12-07 04:49:05","2020-12-07 04:49:05",False,"ACTIVATED",{},False,True,False,True,"google","[81]","{""includes"": [[{""key"": ""variant_price"", ""value"": 30000, ""operator"": ""more_than""}]], ""includes_status"": true}","2020-11-30 04:48:28","2020-12-07 04:49:05",3,"hourly",{}
